YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,57,140892,373,92,377,114,367,65,0.0033128797569555485,False,0.00722193717956543,424,472
2020,12,31,18,9,57,148621,371,86,378,108,365,58,0.003250419731371922,False,0.007706403732299805,424,472
2020,12,31,18,9,57,155945,371,78,0,0,384,84,0.0032279341221618163,False,0.007296323776245117,424,472
2020,12,31,18,9,57,163245,369,74,0,0,384,76,0.0032454229293252318,False,0.00727391242980957,424,472
2020,12,31,18,9,57,171121,367,73,375,90,346,64,0.003035557243364247,False,0.007853984832763672,424,472
2020,12,31,18,9,57,178901,352,70,368,81,326,66,0.00337783818356252,False,0.007756471633911133,424,472
2020,12,31,18,9,57,186565,344,67,364,74,317,65,0.0034827710265430125,False,0.007641792297363281,424,472
2020,12,31,18,9,57,193754,335,65,354,70,309,64,0.002960605212663895,False,0.007159709930419922,424,472
2020,12,31,18,9,57,201295,323,66,344,70,294,66,0.0032828989446754076,False,0.007515907287597656,424,472
2020,12,31,18,9,57,209196,308,65,331,68,278,70,0.00380256635753118,False,0.007876157760620117,424,472
2020,12,31,18,9,57,216728,290,66,318,64,260,69,0.003577710265430125,False,0.007506370544433594,424,472
2020,12,31,18,9,57,224278,273,67,297,67,243,69,0.003547729453149984,False,0.007525920867919922,424,472
2020,12,31,18,9,57,231826,257,68,0,0,290,64,0.0041773265110329385,False,0.007519960403442383,424,472
2020,12,31,18,9,57,239375,237,69,265,66,205,69,0.003717620722737448,False,0.007467508316040039,424,472
2020,12,31,18,9,57,246850,217,70,248,71,183,71,0.004092380876239207,False,0.007450580596923828,424,472
2020,12,31,18,9,57,254449,196,71,225,69,164,76,0.004112368084425967,False,0.0075740814208984375,424,472
2020,12,31,18,9,57,262097,173,74,204,72,142,79,0.003919991205628397,False,0.007622480392456055,424,472
2020,12,31,18,9,57,269609,152,77,178,72,121,84,0.003810061560601215,False,0.0074863433837890625,424,472
2020,12,31,18,9,57,277171,135,80,161,73,106,88,0.003765090342181004,False,0.007535457611083984,424,472
2020,12,31,18,9,57,284731,120,84,144,77,93,88,0.0033703429804924846,False,0.007536172866821289,424,472
2020,12,31,18,9,57,292096,111,86,136,80,81,92,0.0035702150623600896,False,0.007340669631958008,424,472
2020,12,31,18,9,57,300006,101,86,123,80,74,93,0.0033503557723057243,False,0.007887840270996094,424,472
2020,12,31,18,9,57,307256,95,88,116,86,72,94,0.0031579788935081547,False,0.0072209835052490234,424,472
2020,12,31,18,9,57,314943,94,88,113,89,70,94,0.0031379916853213944,False,0.007665395736694336,424,472
2020,12,31,18,9,57,322256,93,89,114,87,70,99,0.0031529820914614646,False,0.007283210754394531,424,472
2020,12,31,18,9,57,329958,93,90,112,87,70,102,0.003212943716021746,False,0.007681369781494141,424,472
2020,12,31,18,9,57,337260,92,91,114,87,70,104,0.0032754037416053727,False,0.007272958755493164,424,472
2020,12,31,18,9,57,344977,92,92,114,87,70,106,0.0032729053405820274,False,0.007695674896240234,424,472
2020,12,31,18,9,57,352364,93,92,113,86,70,108,0.0032804005436520628,False,0.007356882095336914,424,472
2020,12,31,18,9,57,360089,90,97,106,84,69,112,0.0032779021426287175,False,0.007706165313720703,424,472
2020,12,31,18,9,57,367405,82,96,100,90,57,94,0.0029306244003837545,False,0.007284402847290039,424,472
2020,12,31,18,9,57,375190,80,95,100,90,55,94,0.0030955188679245285,False,0.007764339447021484,424,472
